id,category,name of resource,link,description,eligibility,tags,contactInfo,Coordinates,metadata1,metadata2
0,Scholarship,Golden Door Scholars,https://www.goldendoorscholars.org/,Full Ride Scholarship for DACA; Undocumented; and other kinds of immigrants.,If you are not eligible for financial Aid; you are eligible for GDS,Full Ride; Scholarship; DACA,https://www.goldendoorscholars.org/,35.0057845; -80.848308,x,x
1,Guidence,Immigrants Rising,https://immigrantsrising.org/,Curated list of resources for immigrants; espcially students.,Immigrants; Students,Scholarships; Help; Guidence,https://immigrantsrising.org/,Online,x,x
2,Scholarships,Immigrants Rising List,https://immigrantsrising.org/resource/undergraduate-scholarships/,List of scholarships for undocumented students and immigrants,Undocumented; Immigrants; Students,Scholarships; Help; Guidence; Undocumented,https://immigrantsrising.org/resource/undergraduate-scholarships/,Online,x,x
3,Scholarships,Running of The Bulls Scholarships,https://www.runningofthebulls.com/scholarship-award-for-immigrants/,The Running of the Bulls; Inc. is pleased to announce a scholarship program designed to benefit immigrants or children of immigrants in the United States who want to further their education. It is our mission to help tomorrow’s promising leaders meet today’s education expenses. The Scholarship for Immigrants is granting an award of $1;000 for the upcoming academic year.,Students,Scholarship; Financial Aid,https://www.runningofthebulls.com/scholarship-award-for-immigrants/,35.91350287298919; -78.93497797040858,x,x
4,Scholarships ,Vic & Oby Scholarship,http://ralobiohalaw.com/the-vic-oby-scholarship-fund/,As a child of immigrants; Attorney Ral Obioha understands the hardships immigrants and refugees face in their quest to make a better life for their families and adjust to life in the United States. As such; as an Ode to her parents; Engr. and Mrs. Victor and Oby Nwankwo; who had the foresight to settle her to the United States; The Law Office of Ral Obioha; PLLC is committed to inspiring and empowering students who are immigrants; have immigrant parents; or who aspire to pursue career paths that focus on improving the lives of immigrants in America. It is our goal to honor the contributions of immigrants and children of immigrants to the United States. Under the Vic & Oby Scholarship fund; The Law Office of Ral Obioha; PLLC provides financial awards to low-income immigrant college and graduate students who live and/or attend school in any state in the United States. We provide an annual scholarship of up to $5;000 to cover tuition and other expenses for selected college; graduate and/or law school students.,Students,Scholarship; Financial Aid,http://ralobiohalaw.com/the-vic-oby-scholarship-fund/,29.701716907586825; -95.51878684549949,x,x
5,Guidence,WMFIRE,https://www.instagram.com/wmfire__/?hl=en,(WM Fighting For Immigrant Rights and Equity - This is us!) We are more than happy to assist anyone in our community! We will do our best to provide you with guidance and resources. If something is out of our reach; we have connections on and off campus who may be able to help. Email: wmfire@email.wm.edu Insta: @wmfire__ (double underscore) Meta/Facebook: FightingforImmigrantRights andEquity,All Immigrants,William and Mary; Undocumented; School; Club; resources; help,wmfire@email.wm.edu,37.27101197754831; -76.716310560052,x,x
6,Guidence,Reves Center ,https://www.wm.edu/offices/sel/daca-support/resources/index.php,The Reves Center works closely with the law firm McCandlish Holton of Richmond to provide support and assistance to DACA students on campus. Some services are free for W&M students while others are offered at a reduced rate. For more information; click on the link below. DACA Resource Hub,DACA,William and Mary; Undocumented; DACA; Club; resources; help,https://www.facebook.com/wmstudentengagement/,37.27101197754831; -76.716310560052,x,x
7,Guidence,Center of Student Diversity,https://www.wm.edu/offices/studentdiversity/ ,They focus on enhancing the experiences of students; particularly those of diverse backgrounds. They work closely with many student-run organizations and other administrators in an attempt to improve our community. Feel free to visit them! ,All,William and Mary; Undocumented; DAVA; Club; resources; help,https://www.wm.edu/offices/studentdiversity/ ,37.27101197754831; -76.716310560052,x,x
8,Guidence,Counseling Center at William and Mary,https://www.wm.edu/offices/studentdiversity/ ,Counseling sessions are free at the Wellness Center. If referring a student; know that there is a counselor with experience working with undocumented students. Dr. Carina Sudarsky-Gleiser,All,William and Mary; Mental Health; Counseling,https://www.wm.edu/offices/studentdiversity/ ,37.27101197754831; -76.716310560052,x,x
9,Legal,W&M Law School Immigration Clinic ,sekernscheerer@wm.edu  ,The Immigration Clinic assists noncitizens with various immigration matters; including the citizenship and naturalization process. The Clinic also aids noncitizens seeking relief as victims of crime (U visa); domestic violence (VAWA); and human trafficking (T visa); as well as those currently held in detention seeking release on bond. Contact: Prof. Stacy Kern-Scheerer,Non-Citizens,William and Mary; Law; Legal Aid; ,sekernscheerer@wm.edu  ,37.27101197754831; -76.716310560052,x,x
